"filename", "language", "JSON", "Markdown", "CMake", "C++", "comment", "blank", "total"
"c:\Users\linC\app\programming\C++ Project\HyperChat\Benchmark\BenchmarkLog.hpp", "C++", 0, 0, 0, 39, 0, 4, 43
"c:\Users\linC\app\programming\C++ Project\HyperChat\Benchmark\CMakeLists.txt", "CMake", 0, 0, 4, 0, 0, 2, 6
"c:\Users\linC\app\programming\C++ Project\HyperChat\Benchmark\RunBenchmark.cpp", "C++", 0, 0, 0, 20, 0, 2, 22
"c:\Users\linC\app\programming\C++ Project\HyperChat\CMakeLists.txt", "CMake", 0, 0, 13, 0, 0, 4, 17
"c:\Users\linC\app\programming\C++ Project\HyperChat\CMakePresets.json", "JSON", 20, 0, 0, 0, 0, 1, 21
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\CmakeLists.txt", "CMake", 0, 0, 4, 0, 0, 3, 7
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\RunClient.cpp", "C++", 0, 0, 0, 10, 0, 1, 11
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\include\ChatClient.h", "C++", 0, 0, 0, 39, 0, 4, 43
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\src\ChatClient.cpp", "C++", 0, 0, 0, 135, 0, 7, 142
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\CmakeLists.txt", "CMake", 0, 0, 9, 0, 0, 3, 12
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\RunServer.cpp", "C++", 0, 0, 0, 36, 0, 3, 39
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\entity\User.hpp", "C++", 0, 0, 0, 8, 0, 2, 10
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\include\ChatRoom.h", "C++", 0, 0, 0, 15, 0, 2, 17
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\include\ChatServer.h", "C++", 0, 0, 0, 30, 0, 3, 33
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\include\Session.h", "C++", 0, 0, 0, 31, 0, 8, 39
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\src\ChatRoom.cpp", "C++", 0, 0, 0, 1, 0, 0, 1
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\src\ChatServer.cpp", "C++", 0, 0, 0, 43, 0, 6, 49
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\src\Session.cpp", "C++", 0, 0, 0, 85, 0, 8, 93
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\utils\IdGenerator.hpp", "C++", 0, 0, 0, 8, 0, 1, 9
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\CMakeLists.txt", "CMake", 0, 0, 7, 0, 0, 1, 8
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\include\Logger.h", "C++", 0, 0, 0, 120, 0, 23, 143
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\include\ProtocolMessage.h", "C++", 0, 0, 0, 39, 2, 7, 48
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\include\Semaphore.h", "C++", 0, 0, 0, 17, 0, 8, 25
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\include\SpinLock.h", "C++", 0, 0, 0, 14, 0, 5, 19
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\include\ThreadPool.h", "C++", 0, 0, 0, 46, 0, 10, 56
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\include\Timestamp.h", "C++", 0, 0, 0, 13, 0, 4, 17
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\Logger.cpp", "C++", 0, 0, 0, 162, 0, 19, 181
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\ProtocolMessage.cpp", "C++", 0, 0, 0, 47, 0, 7, 54
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\Semaphore.cpp", "C++", 0, 0, 0, 31, 0, 6, 37
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\Spinlock.cpp", "C++", 0, 0, 0, 11, 1, 3, 15
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\ThreadPool.cpp", "C++", 0, 0, 0, 38, 0, 6, 44
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\Timestamp.cpp", "C++", 0, 0, 0, 32, 0, 7, 39
"c:\Users\linC\app\programming\C++ Project\HyperChat\README.md", "Markdown", 0, 43, 0, 0, 0, 13, 56
"c:\Users\linC\app\programming\C++ Project\HyperChat\UnitTest\CMakeLists.txt", "CMake", 0, 0, 6, 0, 0, 4, 10
"c:\Users\linC\app\programming\C++ Project\HyperChat\UnitTest\RunTest.cpp", "C++", 0, 0, 0, 11, 0, 1, 12
"c:\Users\linC\app\programming\C++ Project\HyperChat\UnitTest\TestCommon\TestLog.hpp", "C++", 0, 0, 0, 169, 0, 20, 189
"c:\Users\linC\app\programming\C++ Project\HyperChat\UnitTest\TestCommon\TestThreadPool.hpp", "C++", 0, 0, 0, 36, 0, 4, 40
"c:\Users\linC\app\programming\C++ Project\HyperChat\vcpkg.json", "JSON", 5, 0, 0, 0, 0, 1, 6
"Total", "-", 25, 43, 43, 1286, 3, 213, 1613
