"filename", "language", "Markdown", "C++", "CMake", "comment", "blank", "total"
"c:\Users\linC\app\programming\C++ Project\HyperChat\Benchmark\RunBenchmark.cpp", "C++", 0, 0, 0, 0, -1, -1
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\CmakeLists.txt", "CMake", 0, 0, 3, 0, 1, 4
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\RunServer.cpp", "C++", 0, -1, 0, 0, 0, -1
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\entity\ChatRoom.h", "C++", 0, 15, 0, 0, 2, 17
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\include\ChatRoom.h", "C++", 0, -15, 0, 0, -2, -17
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\include\ChatServer.h", "C++", 0, 2, 0, 0, 2, 4
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\include\ChatService.h", "C++", 0, 19, 0, 0, 4, 23
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\include\Session.h", "C++", 0, 3, 0, 0, 0, 3
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\src\ChatRoom.cpp", "C++", 0, -1, 0, 0, 0, -1
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\src\ChatServer.cpp", "C++", 0, 24, 0, 0, 1, 25
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\src\ChatService.cpp", "C++", 0, 23, 0, 0, 6, 29
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\src\Session.cpp", "C++", 0, 6, 0, 0, 1, 7
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\CMakeLists.txt", "CMake", 0, 0, 3, 0, 0, 3
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\include\Logger.h", "C++", 0, 32, 0, 0, 0, 32
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\include\ProtocolMessage.h", "C++", 0, 17, 0, 0, 1, 18
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\include\Semaphore.h", "C++", 0, 13, 0, 0, 5, 18
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\include\ThreadPool.h", "C++", 0, -2, 0, 0, 0, -2
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\Logger.cpp", "C++", 0, 38, 0, 0, 9, 47
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\ProtocolMessage.cpp", "C++", 0, 2, 0, 0, 2, 4
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\Semaphore.cpp", "C++", 0, 33, 0, 0, 4, 37
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\ThreadPool.cpp", "C++", 0, 7, 0, 0, 0, 7
"c:\Users\linC\app\programming\C++ Project\HyperChat\README.md", "Markdown", -1, 0, 0, 0, 0, -1
"c:\Users\linC\app\programming\C++ Project\HyperChat\UnitTest\RunTest.cpp", "C++", 0, 1, 0, 0, 0, 1
"c:\Users\linC\app\programming\C++ Project\HyperChat\UnitTest\TestCommon\TestThreadPool.hpp", "C++", 0, 39, 0, 0, 6, 45
"c:\Users\linC\app\programming\C++ Project\HyperChat\UnitTest\TestServer\TestChatServer.hpp", "C++", 0, 66, 0, 0, 13, 79
"Total", "-", -1, 321, 6, 0, 54, 380
