"filename", "language", "JSON", "Markdown", "C++", "CMake", "comment", "blank", "total"
"c:\Users\linC\app\programming\C++ Project\HyperChat\Benchmark\BenchmarkLog.hpp", "C++", 0, 0, -39, 0, 0, -4, -43
"c:\Users\linC\app\programming\C++ Project\HyperChat\Benchmark\CMakeLists.txt", "CMake", 0, 0, 0, -4, 0, -2, -6
"c:\Users\linC\app\programming\C++ Project\HyperChat\Benchmark\RunBenchmark.cpp", "C++", 0, 0, -20, 0, 0, -1, -21
"c:\Users\linC\app\programming\C++ Project\HyperChat\CMakeLists.txt", "CMake", 0, 0, 0, -13, 0, -4, -17
"c:\Users\linC\app\programming\C++ Project\HyperChat\CMakePresets.json", "JSON", -20, 0, 0, 0, 0, -1, -21
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\CmakeLists.txt", "CMake", 0, 0, 0, -7, 0, -4, -11
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\RunClient.cpp", "C++", 0, 0, -10, 0, 0, -1, -11
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\include\ChatClient.h", "C++", 0, 0, -39, 0, 0, -4, -43
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\src\ChatClient.cpp", "C++", 0, 0, -135, 0, 0, -7, -142
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\CMakeLists.txt", "CMake", 0, 0, 0, -10, 0, -1, -11
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\include\Logger.h", "C++", 0, 0, -152, 0, 0, -23, -175
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\include\ProtocolMessage.h", "C++", 0, 0, -56, 0, -2, -8, -66
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\include\Semaphore.h", "C++", 0, 0, -30, 0, 0, -13, -43
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\include\SpinLock.h", "C++", 0, 0, -14, 0, 0, -5, -19
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\include\ThreadPool.h", "C++", 0, 0, -44, 0, 0, -10, -54
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\include\Timestamp.h", "C++", 0, 0, -13, 0, 0, -4, -17
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\Logger.cpp", "C++", 0, 0, -200, 0, 0, -28, -228
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\ProtocolMessage.cpp", "C++", 0, 0, -49, 0, 0, -9, -58
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\Semaphore.cpp", "C++", 0, 0, -64, 0, 0, -10, -74
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\Spinlock.cpp", "C++", 0, 0, -11, 0, -1, -3, -15
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\ThreadPool.cpp", "C++", 0, 0, -45, 0, 0, -6, -51
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\Timestamp.cpp", "C++", 0, 0, -32, 0, 0, -7, -39
"c:\Users\linC\app\programming\C++ Project\HyperChat\README.md", "Markdown", 0, -42, 0, 0, 0, -13, -55
"c:\Users\linC\app\programming\C++ Project\HyperChat\UnitTest\CMakeLists.txt", "CMake", 0, 0, 0, -6, 0, -4, -10
"c:\Users\linC\app\programming\C++ Project\HyperChat\UnitTest\RunTest.cpp", "C++", 0, 0, -12, 0, 0, -1, -13
"c:\Users\linC\app\programming\C++ Project\HyperChat\UnitTest\TestCommon\TestLog.hpp", "C++", 0, 0, -169, 0, 0, -20, -189
"c:\Users\linC\app\programming\C++ Project\HyperChat\UnitTest\TestCommon\TestThreadPool.hpp", "C++", 0, 0, -75, 0, 0, -10, -85
"c:\Users\linC\app\programming\C++ Project\HyperChat\UnitTest\TestServer\TestChatServer.hpp", "C++", 0, 0, -66, 0, 0, -13, -79
"c:\Users\linC\app\programming\C++ Project\HyperChat\vcpkg.json", "JSON", -5, 0, 0, 0, 0, -1, -6
"Total", "-", -25, -42, -1275, -40, -3, -217, -1602
