"filename", "language", "JSON", "C++", "Markdown", "CMake", "comment", "blank", "total"
"c:\Users\linC\app\programming\C++ Project\HyperChat\Benchmark\BenchmarkLog.hpp", "C++", 0, 39, 0, 0, 0, 4, 43
"c:\Users\linC\app\programming\C++ Project\HyperChat\Benchmark\CMakeLists.txt", "CMake", 0, 0, 0, 4, 0, 2, 6
"c:\Users\linC\app\programming\C++ Project\HyperChat\Benchmark\RunBenchmark.cpp", "C++", 0, 20, 0, 0, 0, 1, 21
"c:\Users\linC\app\programming\C++ Project\HyperChat\CMakeLists.txt", "CMake", 0, 0, 0, 13, 0, 4, 17
"c:\Users\linC\app\programming\C++ Project\HyperChat\CMakePresets.json", "JSON", 20, 0, 0, 0, 0, 1, 21
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\CmakeLists.txt", "CMake", 0, 0, 0, 7, 0, 4, 11
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\RunClient.cpp", "C++", 0, 10, 0, 0, 0, 1, 11
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\include\ChatClient.h", "C++", 0, 39, 0, 0, 0, 4, 43
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\src\ChatClient.cpp", "C++", 0, 135, 0, 0, 0, 7, 142
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\CmakeLists.txt", "CMake", 0, 0, 0, 11, 0, 3, 14
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\RunServer.cpp", "C++", 0, 33, 0, 0, 0, 3, 36
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\include\AsyncTcpServer.h", "C++", 0, 34, 0, 0, 0, 6, 40
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\include\ChatServer.h", "C++", 0, 27, 0, 0, 0, 4, 31
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\include\ChatService.h", "C++", 0, 32, 0, 0, 2, 5, 39
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\include\IoContextPool.h", "C++", 0, 24, 0, 0, 0, 4, 28
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\include\Session.h", "C++", 0, 34, 0, 0, 0, 8, 42
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\include\entity\ChatRoom.h", "C++", 0, 15, 0, 0, 0, 2, 17
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\include\entity\User.hpp", "C++", 0, 8, 0, 0, 0, 2, 10
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\include\utils\IdGenerator.hpp", "C++", 0, 8, 0, 0, 0, 1, 9
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\src\AsyncTcpServer.cpp", "C++", 0, 103, 0, 0, 0, 9, 112
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\src\ChatServer.cpp", "C++", 0, 42, 0, 0, 1, 5, 48
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\src\ChatService.cpp", "C++", 0, 19, 0, 0, 1, 3, 23
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\src\IoContextPool.cpp", "C++", 0, 49, 0, 0, 0, 4, 53
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatServer\src\Session.cpp", "C++", 0, 85, 0, 0, 0, 9, 94
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\CMakeLists.txt", "CMake", 0, 0, 0, 11, 0, 1, 12
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\include\Logger.h", "C++", 0, 147, 0, 0, 0, 22, 169
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\include\Protocol.h", "C++", 0, 50, 0, 0, 1, 13, 64
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\include\Semaphore.h", "C++", 0, 35, 0, 0, 0, 10, 45
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\include\SpinLock.h", "C++", 0, 14, 0, 0, 0, 5, 19
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\include\ThreadPool.h", "C++", 0, 41, 0, 0, 0, 8, 49
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\include\Timestamp.h", "C++", 0, 13, 0, 0, 0, 4, 17
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\include\UncopybleAndUnmovable.h", "C++", 0, 10, 0, 0, 0, 1, 11
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\Logger.cpp", "C++", 0, 198, 0, 0, 0, 28, 226
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\Protocol.cpp", "C++", 0, 106, 0, 0, 0, 18, 124
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\Semaphore.cpp", "C++", 0, 85, 0, 0, 0, 7, 92
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\Spinlock.cpp", "C++", 0, 11, 0, 0, 1, 3, 15
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\ThreadPool.cpp", "C++", 0, 45, 0, 0, 0, 6, 51
"c:\Users\linC\app\programming\C++ Project\HyperChat\Common\src\Timestamp.cpp", "C++", 0, 32, 0, 0, 0, 7, 39
"c:\Users\linC\app\programming\C++ Project\HyperChat\README.md", "Markdown", 0, 0, 42, 0, 0, 13, 55
"c:\Users\linC\app\programming\C++ Project\HyperChat\UnitTest\CMakeLists.txt", "CMake", 0, 0, 0, 6, 0, 4, 10
"c:\Users\linC\app\programming\C++ Project\HyperChat\UnitTest\RunTest.cpp", "C++", 0, 13, 0, 0, 0, 1, 14
"c:\Users\linC\app\programming\C++ Project\HyperChat\UnitTest\TestCommon\TestLog.hpp", "C++", 0, 169, 0, 0, 0, 20, 189
"c:\Users\linC\app\programming\C++ Project\HyperChat\UnitTest\TestCommon\TestThreadPool.hpp", "C++", 0, 75, 0, 0, 0, 10, 85
"c:\Users\linC\app\programming\C++ Project\HyperChat\UnitTest\TestServer\TestChatServer.hpp", "C++", 0, 79, 0, 0, 0, 11, 90
"c:\Users\linC\app\programming\C++ Project\HyperChat\UnitTest\TestServer\TestIoContextPool.hpp", "C++", 0, 55, 0, 0, 0, 12, 67
"c:\Users\linC\app\programming\C++ Project\HyperChat\vcpkg.json", "JSON", 5, 0, 0, 0, 0, 1, 6
"Total", "-", 25, 1934, 42, 52, 6, 301, 2360
