"filename", "language", "C++", "CMake", "JSON", "TypeScript", "comment", "blank", "total"
"c:\Users\linC\app\programming\C++ Project\HyperChat\CMakeLists.txt", "CMake", 0, 2, 0, 0, 0, 1, 3
"c:\Users\linC\app\programming\C++ Project\HyperChat\CMakePresets.json", "JSON", 0, 0, 2, 0, 0, 0, 2
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\CMakeLists.txt", "CMake", 0, 74, 0, 0, 0, 14, 88
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\ChatClient_zh_CN.ts", "TypeScript", 0, 0, 0, 3, 0, 1, 4
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\CmakeLists.txt", "CMake", 0, -7, 0, 0, 0, -4, -11
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\RunClient.cpp", "C++", -10, 0, 0, 0, 0, -1, -11
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\chatclient.cpp", "C++", 63, 0, 0, 0, 0, 3, 66
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\chatclient.h", "C++", 33, 0, 0, 0, 0, 7, 40
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\chatservicestub.cpp", "C++", 4, 0, 0, 0, 0, 3, 7
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\chatservicestub.h", "C++", 9, 0, 0, 0, 0, 4, 13
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\include\ChatClient.h", "C++", -39, 0, 0, 0, 0, -4, -43
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\main.cpp", "C++", 30, 0, 0, 0, 12, 5, 47
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\mainwindow.cpp", "C++", 14, 0, 0, 0, 0, 3, 17
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\mainwindow.h", "C++", 16, 0, 0, 0, 0, 6, 22
