"filename", "language", "JSON", "CMake", "C++", "Markdown", "TypeScript", "comment", "blank", "total"
"c:\Users\linC\app\programming\C++ Project\HyperChat\Benchmark\BenchmarkLog.hpp", "C++", 0, 0, 39, 0, 0, 0, 4, 43
"c:\Users\linC\app\programming\C++ Project\HyperChat\Benchmark\CMakeLists.txt", "CMake", 0, 4, 0, 0, 0, 0, 2, 6
"c:\Users\linC\app\programming\C++ Project\HyperChat\Benchmark\RunBenchmark.cpp", "C++", 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\linC\app\programming\C++ Project\HyperChat\CMakeLists.txt", "CMake", 0, 15, 0, 0, 0, 0, 5, 20
"c:\Users\linC\app\programming\C++ Project\HyperChat\CMakePresets.json", "JSON", 22, 0, 0, 0, 0, 0, 1, 23
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\CMakeLists.txt", "CMake", 0, 74, 0, 0, 0, 0, 14, 88
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\ChatClient_zh_CN.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\chatclient.cpp", "C++", 0, 0, 63, 0, 0, 0, 3, 66
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\chatclient.h", "C++", 0, 0, 33, 0, 0, 0, 7, 40
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\chatservicestub.cpp", "C++", 0, 0, 4, 0, 0, 0, 3, 7
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\chatservicestub.h", "C++", 0, 0, 9, 0, 0, 0, 4, 13
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\main.cpp", "C++", 0, 0, 30, 0, 0, 12, 5, 47
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\mainwindow.cpp", "C++", 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\mainwindow.h", "C++", 0, 0, 16, 0, 0, 0, 6, 22
"c:\Users\linC\app\programming\C++ Project\HyperChat\ChatClient\protocolresponsehandler.cpp", "C++", 0, 0, 4, 0, 0, 0, 3, 7
